# t (s), T_Al (K), flux_Al (nm^-2.s^-1), z (nm), x
0.000000000000000000e+00,1.340777660645191645e+03,9.962032875625429496e-01,0.000000000000000000e+00,1.000000000000000000e+00
5.001632236100456153e-01,1.340630331339883014e+03,9.931031912150760643e-01,1.125645102694835253e-01,1.000000000000000000e+00
1.000326447220091231e+00,1.340483054419050859e+03,9.900131553391100514e-01,2.250588978927171302e-01,1.000000000000000000e+00
1.500489670830136735e+00,1.340335829354121188e+03,9.869331355159752794e-01,3.374833902992552259e-01,1.000000000000000000e+00
2.000652894440182461e+00,1.340188655619030442e+03,9.838630876187522967e-01,4.498382139155960857e-01,1.000000000000000000e+00
2.500816118050228187e+00,1.340041533853474903e+03,9.808029919704858157e-01,5.621235944454590072e-01,1.000000000000000000e+00
3.000979341660273469e+00,1.339894462777649778e+03,9.777527890983792602e-01,6.743397566959442591e-01,1.000000000000000000e+00
3.501142565270319196e+00,1.339747441447899519e+03,9.747124268875767550e-01,7.864869242100724911e-01,1.000000000000000000e+00
4.001305788880364922e+00,1.339600469347748458e+03,9.716818623525763643e-01,8.985653194535546673e-01,1.000000000000000000e+00
4.501469012490410648e+00,1.339453546897342221e+03,9.686610719673718339e-01,1.010575164138650450e+00,1.000000000000000000e+00
5.001632236100456375e+00,1.339306673271689306e+03,9.656500067228031003e-01,1.122516679155931341e+00,1.000000000000000000e+00
5.501795459710502101e+00,1.339159847319014943e+03,9.626486112406901219e-01,1.234390084213455197e+00,1.000000000000000000e+00
6.001958683320546939e+00,1.339013068532213765e+03,9.596568436406857083e-01,1.346195597917521969e+00,1.000000000000000000e+00
6.502121906930592665e+00,1.338866337291534819e+03,9.566746802736716404e-01,1.457933438132105852e+00,1.000000000000000000e+00
7.002285130540638391e+00,1.338719652861589566e+03,9.537020749280143983e-01,1.569603821929788312e+00,1.000000000000000000e+00
7.502448354150684118e+00,1.338573014067433178e+03,9.507389727974229210e-01,1.681206965238806417e+00,1.000000000000000000e+00
8.002611577760729844e+00,1.338426420411122763e+03,9.477853330718015723e-01,1.792743082904242113e+00,1.000000000000000000e+00
8.502774801370774682e+00,1.338279872391344270e+03,9.448411351504564237e-01,1.904212389075507605e+00,1.000000000000000000e+00
9.002938024980821297e+00,1.338133369039896934e+03,9.419063290736960914e-01,2.015615097102698261e+00,1.000000000000000000e+00
9.503101248590866135e+00,1.337986909322162774e+03,9.389808638800754004e-01,2.126951419192659731e+00,1.000000000000000000e+00
1.000326447220091275e+01,1.337840492749157647e+03,9.360646997960788696e-01,2.238221566524381867e+00,1.000000000000000000e+00
1.050342769581095759e+01,1.337694120075553656e+03,9.331578219198077839e-01,2.349425749657482410e+00,1.000000000000000000e+00
1.100359091942100420e+01,1.337547789819647051e+03,9.302601710515278066e-01,2.460564178312147465e+00,1.000000000000000000e+00
1.150375414303104904e+01,1.337401501229724545e+03,9.273717028188342981e-01,2.571637061035282112e+00,1.000000000000000000e+00
1.200391736664109388e+01,1.337255253952774638e+03,9.244923809532727965e-01,2.682644605460282605e+00,1.000000000000000000e+00
1.250408059025114049e+01,1.337109048735105034e+03,9.216221909098335496e-01,2.793587018644923869e+00,1.000000000000000000e+00
1.300424381386118533e+01,1.336962883723135747e+03,9.187610672492686481e-01,2.904464506740906060e+00,1.000000000000000000e+00
1.350440703747123194e+01,1.336816758443026856e+03,9.159089719347767167e-01,3.015277274727741652e+00,1.000000000000000000e+00
1.400457026108127678e+01,1.336670673049275365e+03,9.130658793382527838e-01,3.126025526863736026e+00,1.000000000000000000e+00
1.450473348469132340e+01,1.336524627262168451e+03,9.102317554734039584e-01,3.236709466731876983e+00,1.000000000000000000e+00
1.500489670830136824e+01,1.336378619771091280e+03,9.074065465878766723e-01,3.347329296921234931e+00,1.000000000000000000e+00
1.550505993191141485e+01,1.336232650110641771e+03,9.045902155951572876e-01,3.457885218991847420e+00,1.000000000000000000e+00
1.600522315552145969e+01,1.336086719025715183e+03,9.017827488508155520e-01,3.568377433929063702e+00,1.000000000000000000e+00
1.650538637913150453e+01,1.335940825039606807e+03,8.989840900777893440e-01,3.678806141926153739e+00,1.000000000000000000e+00
