Day Fraction	Calib 950	Calib 470	Err 950	Err 470	Time	
0.466924638	3.01092e-005	-0.000162507	0	1	11:12:23.687	
0.466937304	-0.00052471	-0.00014161	1	1	11:12:24.781	
0.46694994	-8.59912e-006	-0.00018605	1	1	11:12:25.875	
0.466962487	-0.000447293	-0.000200334	1	1	11:12:26.859	
0.46697402	-0.000176335	-0.000190811	1	1	11:12:27.953	
0.466986656	-4.73074e-005	-0.000179172	1	1	11:12:29.046	
0.466999322	-0.000602127	-0.000173088	1	1	11:12:30.140	
0.467011988	3.01092e-005	-0.000159862	0	1	11:12:31.234	
0.467023373	-0.000395682	-0.000165946	1	1	11:12:32.218	
0.467036039	-0.000240849	-0.000197424	1	1	11:12:33.312	
0.467048705	-0.000266655	-0.000189753	1	1	11:12:34.406	
0.467061341	-0.000305363	-0.000186314	1	1	11:12:35.500	
0.467072755	-2.1502e-005	-0.000164359	1	1	11:12:36.484	
0.467085421	-0.000718252	-0.000191869	1	1	11:12:37.578	
0.467098057	-0.000279557	-0.000175998	1	1	11:12:38.671	
0.467110723	0.000133331	-0.00016092	0	1	11:12:39.765	
0.467122108	-0.000640835	-0.000195573	1	1	11:12:40.750	
0.467134774	0.000107526	-0.000179437	0	1	11:12:41.843	
0.46714744	-0.000511807	-0.000165153	1	1	11:12:42.937	
0.467160106	-0.000550516	-0.000175204	1	1	11:12:44.031	
0.467171609	9.46232e-005	-0.000187637	0	1	11:12:45.015	
0.467184156	-0.00052471	-0.000156423	1	1	11:12:46.109	
0.467196822	-0.000227946	-0.000134204	1	1	11:12:47.203	
0.467209458	-0.000163432	-0.000215676	1	1	11:12:48.296	
0.467220992	-0.000537613	-0.000179966	1	1	11:12:49.281	
0.467233509	-0.000202141	-0.000177585	1	1	11:12:50.375	
0.467246175	-0.00015053	-0.00018314	1	1	11:12:51.468	
0.467258841	4.30349e-006	-0.000167269	0	1	11:12:52.562	
0.467270374	-0.000486002	-0.000182082	1	1	11:12:53.546	
0.467282891	-0.000486002	-0.000172559	1	1	11:12:54.640	
0.467295557	9.46232e-005	-0.000178643	0	1	11:12:55.734	
0.467308223	-0.00075696	-0.000122036	1	1	11:12:56.828	
0.467319727	4.30349e-006	-0.000161978	0	1	11:12:57.812	
0.467332274	-0.00029246	-0.000163301	1	1	11:12:58.906	
0.46734491	-0.000692446	-0.000212502	1	1	11:13:00.000	
0.467357576	0.000107526	-0.000172824	0	1	11:13:01.093	
0.467369229	-0.000602127	-0.000136584	1	1	11:13:02.078	
0.467381626	-0.000331168	-0.000173617	1	1	11:13:03.171	
0.467394292	-0.00015053	-0.000158804	1	1	11:13:04.265	
0.467406958	-0.000615029	-0.000198482	1	1	11:13:05.359	
0.467418611	-4.73074e-005	-0.000173882	1	1	11:13:06.343	
0.467431009	-0.000356974	-0.000152985	1	1	11:13:07.437	
0.467443645	-0.000305363	-0.000172295	1	1	11:13:08.531	
0.467456311	-0.000305363	-0.000215676	1	1	11:13:09.625	
0.467467964	-0.000344071	-0.000184198	1	1	11:13:10.609	
0.467480361	-7.31129e-005	-0.000155101	1	1	11:13:11.703	
0.467493027	-0.000653738	-0.000196631	1	1	11:13:12.796	
0.467505693	-0.000163433	-0.00018605	1	1	11:13:13.890	
0.467517465	4.30349e-006	-0.000181024	0	1	11:13:14.875	
0.467529744	-0.000563418	-0.000168856	1	1	11:13:15.968	
0.46754241	0.000107526	-0.000187901	0	1	11:13:17.062	
0.467555046	-0.000460196	-0.000177056	1	1	11:13:18.156	
0.467566848	-0.000266655	-0.000199011	1	1	11:13:19.140	
0.467579126	0.000146234	-0.000196631	0	1	11:13:20.234	
0.467591763	-0.000744057	-0.000142139	1	1	11:13:21.328	
0.467604429	6.88175e-005	-0.00019425	0	1	11:13:22.421	
0.4676162	-0.000227946	-0.000205624	1	1	11:13:23.406	
0.467628479	-0.000627932	-0.000166475	1	1	11:13:24.500	
0.467641145	-0.000163432	-0.000164624	1	1	11:13:25.593	
0.467653811	-0.000550516	-0.000199805	1	1	11:13:26.687	
0.467665702	-0.000227946	-0.000158275	1	1	11:13:27.671	
0.467677861	-0.000227946	-0.000152985	1	1	11:13:28.765	
0.467690527	-0.000369877	-0.00015272	1	1	11:13:29.859	
0.467703164	-4.73074e-005	-0.000141875	1	1	11:13:30.953	
0.467715085	-0.000744057	-0.000164095	1	1	11:13:31.937	
0.467727244	-0.000124724	-0.000180495	1	1	11:13:33.031	
0.46773988	-0.00029246	-0.000178908	1	1	11:13:34.125	
0.467752546	-0.000408585	-0.000164359	1	1	11:13:35.218	
0.467764437	0.000107526	-0.000171237	0	1	11:13:36.203	
0.467776597	-0.000640835	-0.000150604	1	1	11:13:37.296	
0.467789263	-0.000202141	-0.00016674	1	1	11:13:38.390	
0.467801929	0.000120429	-0.000168856	0	1	11:13:39.484	
0.467813939	-0.000795668	-0.000175204	1	1	11:13:40.468	
0.467825979	0.000133331	-0.000181288	0	1	11:13:41.562	
0.467838645	-0.000498904	-0.000155365	1	1	11:13:42.656	
0.467851281	-0.000537613	-0.000140817	1	1	11:13:43.750	
0.467863321	0.000120428	-0.000190547	0	1	11:13:44.734	
0.467875332	-0.000537613	-0.000158275	1	1	11:13:45.828	
0.467887998	-4.73074e-005	-0.000170972	1	1	11:13:46.921	
0.467900664	-0.000215043	-0.000167269	1	1	11:13:48.015	
0.467912674	-0.000266655	-0.000213031	1	1	11:13:49.000	
0.467924714	-0.00029246	-0.000152191	1	1	11:13:50.093	
0.46793738	-0.000369877	-0.000166475	1	1	11:13:51.187	
0.467950046	-2.1502e-005	-0.00017785	1	1	11:13:52.281	
0.467962176	-0.000382779	-0.000189224	1	1	11:13:53.265	
0.467974067	-0.000473099	-0.000151926	1	1	11:13:54.359	
0.467986733	0.000210748	-0.000178908	0	1	11:13:55.453	
0.467999399	-0.000718252	-0.000150868	1	1	11:13:56.546	
0.468011558	-4.73074e-005	-0.000160656	1	1	11:13:57.531	
0.468023449	-0.000240849	-0.000158804	1	1	11:13:58.625	
0.468036115	-0.000653738	-0.000194514	1	1	11:13:59.718	
0.468048781	0.000120428	-0.000179701	0	1	11:14:00.812	
0.468060911	-0.000563418	-0.000181024	1	1	11:14:01.796	
0.468072832	-0.000369877	-0.000155365	1	1	11:14:02.890	
0.468085468	-8.60157e-005	-0.000177585	1	1	11:14:03.984	
0.468098134	-0.000744057	-0.000181553	1	1	11:14:05.078	
0.468110293	0.000107526	-0.000174675	0	1	11:14:06.062	
0.468122184	-0.000356974	-0.000164095	1	1	11:14:07.156	
0.46813485	-0.000421488	-0.000183669	1	1	11:14:08.250	
0.468147516	-0.000124724	-0.000179701	1	1	11:14:09.343	
0.468159795	-0.000511807	-0.00017785	1	1	11:14:10.328	
0.468171567	8.17201e-005	-0.000154043	0	1	11:14:11.421	
0.468184233	-0.000537613	-0.000159598	1	1	11:14:12.515	
0.468196869	-4.73074e-005	-0.000179966	1	1	11:14:13.609	
0.468209147	-4.73074e-005	-0.000178908	1	1	11:14:14.593	
0.468220949	-0.000576321	-0.000176792	1	1	11:14:15.687	
0.468233585	9.46232e-005	-0.000173353	0	1	11:14:16.781	
0.468246251	-0.00052471	-0.000179701	1	1	11:14:17.875	
0.46825853	-0.000395682	-0.000172295	1	1	11:14:18.859	
0.468270302	4.30118e-005	-0.000166475	0	1	11:14:19.953	
0.468282968	-0.000653738	-0.000143991	1	1	11:14:21.046	
0.468295634	-0.00015053	-0.000181024	1	1	11:14:22.140	
0.468308032	-0.000305363	-0.000159598	1	1	11:14:23.125	
0.468319684	-0.000615029	-0.000162507	1	1	11:14:24.218	
0.46833235	0.000107526	-0.000166475	0	1	11:14:25.312	
0.468344986	-0.000408585	-0.000185785	1	1	11:14:26.406	
0.468357384	-0.000227946	-0.000148752	1	1	11:14:27.390	
0.468369037	-0.000111821	-0.000184463	1	1	11:14:28.484	
0.468381703	-0.000473099	-0.000132087	1	1	11:14:29.578	
0.468394369	-8.59912e-006	-0.000176792	1	1	11:14:30.671	
0.468406767	-0.000395682	-0.000187637	1	1	11:14:31.656	
0.468418419	-0.000202141	-0.000179172	1	1	11:14:32.750	
0.468431085	-0.000318266	-0.000199011	1	1	11:14:33.843	
0.468443751	-0.000434391	-0.000155365	1	1	11:14:34.937	
0.468456268	-6.02103e-005	-0.000188166	1	1	11:14:35.921	
0.468467802	-0.000537613	-0.00018605	1	1	11:14:37.015	
0.468480438	-6.02103e-005	-0.000123358	1	1	11:14:38.109	
0.468493104	0.000184942	-0.000209592	0	1	11:14:39.203	
0.468505651	-0.000653738	-0.000192663	1	1	11:14:40.187	
0.468517154	0.000159137	-0.000176527	0	1	11:14:41.281	
0.46852982	-0.000744057	-0.000193456	1	1	11:14:42.375	
0.468542486	-0.000486002	-0.000162243	1	1	11:14:43.468	
0.468555003	-0.000111821	-0.000166211	1	1	11:14:44.453	
0.468566537	-0.000653738	-0.00015272	1	1	11:14:45.546	
0.468579173	-2.1502e-005	-0.000170443	1	1	11:14:46.640	
0.468591839	-0.000382779	-0.000178114	1	1	11:14:47.734	
0.468604505	-0.000331168	-0.000156688	1	1	11:14:48.828	
0.46861589	-0.000279557	-0.00021065	1	1	11:14:49.812	
0.468628556	-0.000331168	-0.000176527	1	1	11:14:50.906	
0.468641222	-8.60157e-005	-0.000169385	1	1	11:14:52.000	
0.468653888	-0.000473099	-0.000151133	1	1	11:14:53.093	
0.468665272	-0.000369877	-0.00017785	1	1	11:14:54.078	
0.468677938	0.000275262	-0.000155101	0	1	11:14:55.171	
0.468690574	-0.00052471	-0.000170708	1	1	11:14:56.265	
0.46870324	3.01092e-005	-0.000217792	0	1	11:14:57.359	
0.468714654	-0.000266655	-0.000169385	1	1	11:14:58.343	
0.468727291	-0.000705349	-0.000154836	1	1	11:14:59.437	
0.468739957	0.000197845	-0.000198218	0	1	11:15:00.531	
0.468752623	-0.000473099	-0.000154043	1	1	11:15:01.625	
0.468764126	-0.000163433	-0.000177585	1	1	11:15:02.609	
0.468776673	-8.60157e-005	-0.000176263	1	1	11:15:03.703	
0.468789339	-0.000460196	-0.000208799	1	1	11:15:04.796	
0.468801975	4.30349e-006	-0.000154307	0	1	11:15:05.890	
0.468813509	-0.000240849	-0.000181817	1	1	11:15:06.875	
0.468826056	-0.000331168	-0.000183669	1	1	11:15:07.968	
0.468838692	-0.000111821	-0.000171237	1	1	11:15:09.062	
0.468851358	-0.000369877	-0.000173088	1	1	11:15:10.156	
0.468862891	-2.1502e-005	-0.000193985	1	1	11:15:11.140	
0.468875408	-0.000408585	-0.000164359	1	1	11:15:12.234	
0.468888074	-7.31129e-005	-0.000166475	1	1	11:15:13.328	
0.46890074	5.59149e-005	-0.00018023	0	1	11:15:14.421	
0.468912363	-0.000731154	-0.000173882	1	1	11:15:15.406	
0.468924791	1.72066e-005	-0.000162772	0	1	11:15:16.500	
0.468937457	-0.000498904	-0.000146636	1	1	11:15:17.593	
0.468950093	-0.000395682	-0.000151662	1	1	11:15:18.687	
0.468961746	-8.60157e-005	-0.000182611	1	1	11:15:19.671	
0.468974143	-0.00066664	-0.000155101	1	1	11:15:20.765	
0.468986809	-0.000202141	-0.000140552	1	1	11:15:21.859	
0.468999475	-0.000163432	-0.000167004	1	1	11:15:22.953	
0.469011128	-0.000473099	-0.000184992	1	1	11:15:23.937	
0.469023526	0.000146234	-0.000168591	0	1	11:15:25.031	
0.469036192	-0.000486002	-0.000187108	1	1	11:15:26.125	
0.469048858	-4.73074e-005	-0.000208005	1	1	11:15:27.218	
0.469060481	-0.000202141	-0.00017494	1	1	11:15:28.203	
0.469072878	-0.000227946	-0.00017203	1	1	11:15:29.296	
0.469085544	-8.60157e-005	-0.000155894	1	1	11:15:30.390	
0.46909821	-0.000627932	-0.000172295	1	1	11:15:31.484	
0.469109982	0.000184942	-0.00016092	0	1	11:15:32.468	
0.469122261	-0.000395682	-0.00015854	1	1	11:15:33.562	
0.469134927	-0.000369877	-0.000171501	1	1	11:15:34.656	
0.469147593	4.30118e-005	-0.000151926	0	1	11:15:35.750	
0.469159365	-0.000731154	-0.000200334	1	1	11:15:36.734	
0.469171643	-0.000318266	-0.000189489	1	1	11:15:37.828	
0.469184279	-8.59912e-006	-0.000168591	1	1	11:15:38.921	
0.469196945	-0.000602127	-0.000202979	1	1	11:15:40.015	
0.469208717	0.000223651	-0.000187372	0	1	11:15:41.000	
0.469220996	-0.000511807	-0.000201392	1	1	11:15:42.093	
0.469233662	-0.000408585	-0.000151662	1	1	11:15:43.187	
0.469246328	-0.000137627	-0.000149546	1	1	11:15:44.281	
0.469258219	-0.000511807	-0.000121507	1	1	11:15:45.265	
0.469270378	-0.000176335	-0.000120448	1	1	11:15:46.359	
0.469283044	-0.000227946	-0.00013632	1	1	11:15:47.453	
0.469295681	-0.000266655	-0.000121771	1	1	11:15:48.546	
0.469307601	-0.000266655	-0.000184727	1	1	11:15:49.531	
0.469319761	-0.000395682	-0.000161185	1	1	11:15:50.625	
0.469332397	8.17206e-005	-0.000150604	0	1	11:15:51.718	
0.469345063	-9.89186e-005	-0.000191869	1	1	11:15:52.812	
0.469356954	-0.000395682	-0.000140552	1	1	11:15:53.796	
0.469369113	-4.73074e-005	-0.000125739	1	1	11:15:54.890	
0.469381779	-0.000550516	-0.00017785	1	1	11:15:55.984	
0.469394445	5.59149e-005	-0.000151927	0	1	11:15:57.078	
0.469406456	-0.000356974	-0.000190018	1	1	11:15:58.062	
0.469418496	-0.000589224	-0.000145843	1	1	11:15:59.156	
0.469431162	0.000210748	-0.000187372	0	1	11:16:00.250	
0.469443798	-0.00075696	-0.000161185	1	1	11:16:01.343	
0.469455838	-0.000486002	-0.000167269	1	1	11:16:02.328	
0.469467849	-8.59912e-006	-0.000116216	1	1	11:16:03.421	
0.469480515	-0.000395682	-1.94013e-005	1	1	11:16:04.515	
0.469493181	0.00040429	2.97996e-005	0	0	11:16:05.609	
0.469505191	-3.44046e-005	-1.01432e-005	1	1	11:16:06.593	
0.469517231	4.30349e-006	-3.15694e-005	0	1	11:16:07.687	
0.469529897	-5.59349e-005	-3.15658e-005	1	1	11:16:08.781	
0.469542563	-0.00041736	-1.86044e-005	1	1	11:16:09.875	
0.469554693	0.000266774	-4.02979e-005	0	1	11:16:10.859	
0.469566584	-0.000133376	-1.67557e-005	1	1	11:16:11.953	
0.46957925	3.44283e-005	-2.01944e-005	0	1	11:16:13.046	
0.469591916	0.000176417	6.52198e-006	0	0	11:16:14.140	
0.469604075	-0.000404445	2.58317e-005	1	0	11:16:15.125	
0.469615966	8.60607e-005	-1.49041e-005	0	1	11:16:16.218	
0.469628632	-0.000365721	-1.62266e-005	1	1	11:16:17.312	
0.469641298	-0.00010756	-2.78655e-005	1	1	11:16:18.406	
0.469653428	0.00035713	-3.15687e-005	0	1	11:16:19.390	
0.469665349	-0.000456077	-3.633e-005	1	1	11:16:20.484	
0.469677985	0.000124785	6.52198e-006	0	0	11:16:21.578	
